id,offer name,code,payout,revenue,sale amount,expected ratio revenue,expected ratio sale,expected payout fixed,match method,matched or not
6669,Noon Egypt,wnd,0.8,1.0,27.03,0.8,0.028613405001853116,0.4,revenue,matched
14757,Noon Egypt,xy3,1.28,1.6,33.49,0.8,0.03457885922658721,0.64,revenue,matched
14757,Noon Egypt,xy56,3.62,4.3999999999999995,112.85,0.8000000000000002,0.03368876956924102,0.56,"mixed (fixed, revenue, sale)",matched
6936,Noon Egypt,xy8,0.24,0.3,7.96,0.8,0.03015075376884422,0.24,revenue,matched
14750,Noon Egypt,yfr,1.87,2.2,39.64,0.85,0.04717457114026236,1.87,revenue,matched
14507,Noon Egypt,ypb,4.720000000000001,5.9,126.63,0.8,0.033916206832536114,0.56,revenue,matched
6919,Noon Egypt,yy99,0.48,0.6,19.94,0.8,0.02431193406271845,0.24,revenue,matched
7157,Noon Egypt,zs4,1.04,1.3,35.11,0.8,0.02962119054400456,1.04,revenue,matched
14185,Noon Egypt,zv8,3.2800000000000002,4.1,91.06,0.8,0.0374039966512576,0.64,revenue,matched
189,Noon GCC,1cm,3.59,4.08,8.14,0.8799019607843137,0.441031941031941,3.59,revenue,matched
1,Noon GCC,1qk,0.0,2.72,25.99,0.0,0.0,0.0,revenue,matched
986,Noon GCC,3gp,4.62,5.44,57.01,0.8492647058823529,0.08107493637407978,2.31,revenue,matched
5458,Noon GCC,3ul,191.76,255.68,4150.28,0.75,0.05709487825356844,2.04,revenue,matched
6658,Noon GCC,4np,6.93,8.16,94.19,0.8492647058823529,0.07566328201768752,2.31,revenue,matched
14590,Noon GCC,4u8p,2.45,2.72,178.91,0.9007352941176471,0.013694036107540105,2.45,revenue,matched
14590,Noon GCC,551,3.67,4.08,21.88,0.8995098039215685,0.16773308957952468,3.67,revenue,matched
5566,Noon GCC,5d8,6.93,8.16,38.32,0.8492647058823529,0.30394736842105263,2.31,revenue,matched
14590,Noon GCC,5ng,2.45,2.72,242.73,0.9007352941176471,0.010093519548469494,2.45,revenue,matched
14763,Noon GCC,5zq,10.2,13.600000000000001,189.3,0.75,0.05388272583201268,2.04,revenue,matched
14590,Noon GCC,623u,2.45,2.72,64.3,0.9007352941176471,0.038102643856920686,2.45,revenue,matched
14590,Noon GCC,6chb,20.82,23.12,149.93,0.9007352941176471,0.12369353189154134,2.45,revenue,matched
1,Noon GCC,742,0.0,2.72,6.81,0.0,0.0,0.0,revenue,matched
1,Noon GCC,743,0.0,2.72,8.99,0.0,0.0,0.0,revenue,matched
986,Noon GCC,7rk,64.7,76.16000000000001,544.44,0.8492647058823529,0.1316530522809276,2.31,revenue,matched
986,Noon GCC,8qz,2.31,2.72,37.64,0.8492647058823529,0.061370882040382574,2.31,revenue,matched
14590,Noon GCC,9vmk,2.45,2.72,24.11,0.9007352941176471,0.10161758606387392,2.45,revenue,matched
14590,Noon GCC,aajh,4.9,5.44,145.62,0.9007352941176471,0.06512970096845401,2.45,revenue,matched
2345,Noon GCC,aid,2.45,2.72,21.79,0.9007352941176471,0.11243689765947684,2.45,revenue,matched
663,Noon GCC,ail,11.55,13.600000000000001,117.94,0.8492647058823529,0.13485113835376533,2.31,revenue,matched
6727,Noon GCC,alk,4.08,5.44,53.44,0.75,0.07811544315116983,2.04,revenue,matched
14818,Noon GCC,amj10,2.04,2.72,17.12,0.75,0.1191588785046729,2.04,revenue,matched
6272,Noon GCC,aor,10.2,13.600000000000001,221.89,0.75,0.06234718826405868,2.04,revenue,matched
14590,Noon GCC,apwn,2.45,2.72,16.29,0.9007352941176471,0.15039901780233275,2.45,revenue,matched
14590,Noon GCC,arxv,9.8,10.88,124.1,0.9007352941176471,0.12497786189181609,2.45,revenue,matched
189,Noon GCC,asq,15.540000000000001,17.68,503.0,0.8786764705882353,0.10104814597293041,2.39,revenue,matched
6939,Noon GCC,auc80,133.98,157.76000000000002,1900.01,0.8492647058823529,0.09684077945666443,2.31,revenue,matched
8274,Noon GCC,auc83,2.31,2.72,74.69,0.8492647058823529,0.030927835051546393,2.31,revenue,matched
14465,Noon GCC,auc84,349.1,387.6,8541.22,0.9007352941176471,0.06698227657676403,2.45,revenue,matched
189,Noon GCC,auc86,2.39,2.72,124.8,0.8786764705882353,0.019150641025641027,2.39,revenue,matched
189,Noon GCC,auc87,7.17,8.16,146.21,0.8786764705882353,0.07181490384615384,2.39,revenue,matched
189,Noon GCC,auc88,7.17,8.16,82.44999999999999,0.8786764705882353,0.09979123173277663,2.39,revenue,matched
189,Noon GCC,avg,8.370000000000001,9.52,52.05,0.8786764705882353,0.13095890410958905,2.39,revenue,matched
14536,Noon GCC,b5u,8.16,10.88,274.62,0.75,0.047430600545172286,2.04,revenue,matched
1,Noon GCC,bde,0.0,2.72,42.46,0.0,0.0,0.0,revenue,matched
1,Noon GCC,bf115,0.0,4.08,63.78,0.0,0.0,0.0,revenue,matched
8623,Noon GCC,bf116,2.31,2.72,5.35,0.8492647058823529,0.43177570093457945,2.31,revenue,matched
9596,Noon GCC,bf118,6.12,8.16,166.25,0.75,0.03688969258589512,2.04,revenue,matched
8274,Noon GCC,bf119,713.91,840.48,13810.029999999999,0.8492647058823529,0.05217980573751976,2.31,revenue,matched
